Claim_ID,SKU,Component Failed,Days After Purchase,Repair Cost
W009128,LP0083,Keyboard,304,310
W009129,LP0704,Motherboard,572,630
W009130,LP0399,Display,869,689
W009131,LP0998,RAM,198,654
W009132,LP0406,GPU,361,522
W009133,LP0095,SSD,728,525
W009134,LP0053,GPU,658,574
W009135,LP0924,GPU,1049,476
W009136,LP0167,Keyboard,914,553
W009137,LP0381,Cooling Fan,957,128
W009138,LP0693,Cooling Fan,261,212
W009139,LP0068,Touchpad,409,649
W009140,LP0807,Display,1018,418
W009141,LP0739,Cooling Fan,12,531
W009142,LP0653,Motherboard,12,160
W009143,LP0176,Cooling Fan,878,194
W009144,LP0755,SSD,636,374
W009145,LP0188,Cooling Fan,1045,327
W009146,LP0972,Keyboard,10,40
W009147,LP0225,Touchpad,1027,542
W009148,LP0653,Motherboard,870,323
W009149,LP0434,RAM,639,641
W009150,LP0090,Speaker,859,585
W009151,LP0662,SSD,1056,528
W009152,LP0714,SSD,406,212
W009153,LP0008,Keyboard,299,200
W009154,LP0388,Speaker,834,543
W009155,LP0483,Motherboard,433,511
W009156,LP0376,RAM,1015,574
W009157,LP0377,SSD,681,525
W009158,LP0723,GPU,674,249
W009159,LP0005,Touchpad,303,296
W009160,LP0766,GPU,599,240
W009161,LP0019,Speaker,238,257
W009162,LP0133,Battery,364,384
W009163,LP0472,RAM,49,294
W009164,LP0078,Battery,345,461
W009165,LP0403,SSD,498,412
W009166,LP0749,Motherboard,585,352
W009167,LP0379,Cooling Fan,485,130
W009168,LP0294,Touchpad,318,464
W009169,LP0433,Battery,307,289
W009170,LP0504,Cooling Fan,887,32
W009171,LP0207,Speaker,321,544
W009172,LP0061,Cooling Fan,153,92
W009173,LP0051,Battery,532,353
W009174,LP0539,Speaker,887,309
W009175,LP0116,Cooling Fan,500,642
W009176,LP0618,GPU,989,647
W009177,LP0251,Keyboard,425,281
W009178,LP0518,Keyboard,411,569
W009179,LP0457,GPU,1059,245
W009180,LP0565,GPU,1079,624
W009181,LP0810,Speaker,316,383
W009182,LP0526,Display,926,245
W009183,LP0571,GPU,219,417
W009184,LP0357,Battery,300,285
W009185,LP0341,Motherboard,1015,680
W009186,LP0618,Touchpad,492,521
W009187,LP0557,Cooling Fan,486,676
W009188,LP0369,Battery,243,623
W009189,LP0619,Speaker,61,415
W009190,LP0965,Speaker,533,641
W009191,LP0414,Motherboard,413,243
W009192,LP0952,SSD,371,638
W009193,LP0931,Touchpad,728,88
W009194,LP0555,GPU,959,187
W009195,LP0737,Battery,846,676
W009196,LP0445,Battery,190,87
W009197,LP0461,GPU,911,497
W009198,LP0759,Cooling Fan,856,483
W009199,LP0687,Keyboard,997,107
W009200,LP0546,Display,102,397
W009201,LP0668,Touchpad,906,301
W009202,LP0930,GPU,1036,617
W009203,LP0917,Touchpad,476,252
W009204,LP0034,RAM,451,527
W009205,LP0288,Motherboard,879,191
W009206,LP0998,SSD,297,427
W009207,LP0121,Motherboard,492,277
W009208,LP0156,SSD,977,540
W009209,LP0193,GPU,727,141
W009210,LP0541,Speaker,570,650
W009211,LP0114,Touchpad,847,432
W009212,LP0084,Keyboard,299,624
W009213,LP0309,Motherboard,829,273
W009214,LP0968,RAM,977,216
W009215,LP0271,Cooling Fan,835,238
W009216,LP0614,Speaker,723,517
W009217,LP0784,Battery,822,565
W009218,LP0331,Motherboard,33,506
W009219,LP0144,Speaker,622,262
W009220,LP0521,RAM,1084,38
W009221,LP0028,Touchpad,1056,469
W009222,LP0445,Touchpad,339,304
W009223,LP0661,RAM,43,364
W009224,LP0067,SSD,68,347
W009225,LP0516,Cooling Fan,467,383
W009226,LP0739,Touchpad,1008,413
W009227,LP0280,Keyboard,597,359
W009228,LP0241,GPU,611,663
W009229,LP0579,GPU,215,92
W009230,LP0500,Cooling Fan,920,497
W009231,LP0146,Battery,339,174
W009232,LP0715,GPU,639,417
W009233,LP0748,Display,673,277
W009234,LP0243,Motherboard,31,181
W009235,LP0509,Motherboard,288,501
W009236,LP0794,RAM,132,517
W009237,LP0863,GPU,973,477
W009238,LP0711,Touchpad,508,580
W009239,LP0709,Motherboard,663,140
W009240,LP0259,RAM,502,597
W009241,LP0387,Touchpad,30,149
W009242,LP0953,GPU,1066,102
W009243,LP0159,Motherboard,1029,380
W009244,LP0894,Motherboard,121,55
W009245,LP0413,Touchpad,175,386
W009246,LP0375,Speaker,719,612
W009247,LP0225,Touchpad,331,177
W009248,LP0888,SSD,534,356
W009249,LP0365,GPU,703,217
W009250,LP0218,Battery,270,128
W009251,LP0311,Speaker,643,316
W009252,LP0786,Display,398,666
W009253,LP0821,Touchpad,775,117
W009254,LP0932,Cooling Fan,833,607
W009255,LP0615,Keyboard,437,83
W009256,LP0245,Speaker,172,354
W009257,LP0445,Touchpad,679,631
W009258,LP0935,Motherboard,996,43
W009259,LP0358,GPU,766,96
W009260,LP0014,GPU,437,451
W009261,LP0926,Display,140,173
W009262,LP0532,Cooling Fan,606,72
W009263,LP0722,Speaker,241,95
W009264,LP0465,Keyboard,60,414
W009265,LP0592,Touchpad,479,573
W009266,LP0149,Display,574,351
W009267,LP0136,Speaker,912,561
W009268,LP0597,Touchpad,822,168
W009269,LP0518,Touchpad,490,37
W009270,LP0800,Battery,597,87
W009271,LP0370,Battery,163,544
W009272,LP0368,Motherboard,666,422
W009273,LP0886,Motherboard,398,139
W009274,LP0585,Display,316,698
W009275,LP0419,Motherboard,547,589
W009276,LP0363,Speaker,872,363
W009277,LP0270,Touchpad,149,591
W009278,LP0997,SSD,567,45
W009279,LP0609,Keyboard,886,391
W009280,LP0316,Cooling Fan,152,667
W009281,LP0790,Battery,1033,686
W009282,LP0865,Motherboard,773,289
W009283,LP0523,Cooling Fan,636,572
W009284,LP0484,Motherboard,698,438
W009285,LP0390,Battery,470,58
W009286,LP0879,Motherboard,770,431
W009287,LP0007,Touchpad,642,308
W009288,LP0642,GPU,231,399
W009289,LP0011,Display,293,256
W009290,LP0939,RAM,117,457
W009291,LP0405,RAM,780,473
W009292,LP0857,Motherboard,747,59
W009293,LP0358,Touchpad,52,553
W009294,LP0874,RAM,773,498
W009295,LP0439,RAM,1002,580
W009296,LP0913,Touchpad,445,517
W009297,LP0587,Keyboard,207,646
W009298,LP0316,Cooling Fan,555,261
W009299,LP0473,Battery,95,225
W009300,LP0334,Battery,179,610
W009301,LP0750,GPU,47,636
W009302,LP0128,Motherboard,292,496
W009303,LP0433,SSD,1028,102
W009304,LP0932,SSD,393,287
W009305,LP0692,Keyboard,354,112
W009306,LP0104,Display,110,163
W009307,LP0448,GPU,283,270
W009308,LP0497,Cooling Fan,403,677
W009309,LP0955,Speaker,233,254
W009310,LP0972,Keyboard,25,656
W009311,LP0928,Speaker,508,130
W009312,LP0270,RAM,342,285
W009313,LP0503,Speaker,36,242
W009314,LP0317,GPU,454,230
W009315,LP0756,Battery,1064,483
W009316,LP0271,Battery,756,456
W009317,LP0328,GPU,814,453
W009318,LP0779,Speaker,79,371
W009319,LP0943,Speaker,93,62
W009320,LP0051,RAM,726,250
W009321,LP0558,Display,680,510
W009322,LP0853,RAM,118,124
W009323,LP0874,RAM,562,256
W009324,LP0702,Speaker,692,494
W009325,LP0554,Display,111,522
W009326,LP0465,Touchpad,570,664
W009327,LP0949,Display,587,573
W009328,LP0533,Display,721,679
W009329,LP0806,Display,614,307
W009330,LP0438,GPU,199,640
W009331,LP0674,Touchpad,708,288
W009332,LP0114,Cooling Fan,200,66
W009333,LP0004,GPU,754,454
W009334,LP0864,Battery,820,430
W009335,LP0439,Speaker,751,327
W009336,LP0878,RAM,691,270
W009337,LP0796,GPU,460,539
W009338,LP0954,Cooling Fan,881,473
W009339,LP0370,Touchpad,731,663
W009340,LP0614,Motherboard,355,264
W009341,LP0283,SSD,281,268
W009342,LP0916,Speaker,219,468
W009343,LP0186,Battery,790,469
W009344,LP0996,SSD,1055,347
W009345,LP0629,Display,1088,693
W009346,LP0402,Display,649,424
W009347,LP0908,Battery,1068,269
W009348,LP0414,Keyboard,696,580
W009349,LP0964,Motherboard,776,241
W009350,LP0206,Display,748,114
W009351,LP0646,Keyboard,168,231
W009352,LP0354,GPU,242,141
W009353,LP0969,Cooling Fan,19,197
W009354,LP0497,Speaker,602,516
W009355,LP0193,SSD,638,497
W009356,LP0851,Touchpad,402,486
W009357,LP0175,Battery,474,665
W009358,LP0911,Display,998,419
W009359,LP0078,Touchpad,844,600
W009360,LP0165,Battery,719,564
W009361,LP0560,RAM,1080,309
W009362,LP0678,Keyboard,256,250
W009363,LP0650,RAM,1024,341
W009364,LP0016,Speaker,926,344
W009365,LP0458,SSD,66,492
W009366,LP0200,Touchpad,986,185
W009367,LP0589,GPU,223,528
W009368,LP0356,GPU,709,479
W009369,LP0497,Touchpad,123,424
W009370,LP0128,Speaker,507,326
W009371,LP0269,Battery,683,157
W009372,LP0089,Speaker,86,641
W009373,LP0324,SSD,693,350
W009374,LP0080,Touchpad,268,326
W009375,LP0107,RAM,274,556
W009376,LP0982,GPU,495,348
W009377,LP0561,SSD,22,98
W009378,LP0986,GPU,188,492
W009379,LP0050,GPU,525,651
W009380,LP0932,Display,633,343
W009381,LP0334,Keyboard,512,534
W009382,LP0706,RAM,377,50
W009383,LP0099,RAM,790,657
W009384,LP0098,SSD,901,141
W009385,LP0389,SSD,166,389
W009386,LP0903,Cooling Fan,476,222
W009387,LP0487,GPU,1070,306
W009388,LP0008,Touchpad,191,236
W009389,LP0274,Display,1016,548
W009390,LP0071,Motherboard,21,528
W009391,LP0114,Touchpad,776,523
W009392,LP0658,Display,622,383
W009393,LP0105,SSD,744,131
W009394,LP0287,Touchpad,745,364
W009395,LP0545,Keyboard,1006,247
W009396,LP0393,Speaker,84,508
W009397,LP0180,Touchpad,817,466
W009398,LP0744,Display,1069,80
W009399,LP0548,SSD,504,562
W009400,LP0532,Display,793,583
W009401,LP0319,Speaker,296,509
W009402,LP0731,Battery,410,697
W009403,LP0907,Motherboard,74,496
W009404,LP0951,Motherboard,648,424
W009405,LP0283,SSD,707,33
W009406,LP0242,Motherboard,24,416
W009407,LP0688,Motherboard,545,396
W009408,LP0731,Display,107,553
W009409,LP0086,Speaker,991,266
W009410,LP0217,Motherboard,68,211
W009411,LP0505,GPU,499,172
W009412,LP0828,Cooling Fan,385,200
W009413,LP0212,Cooling Fan,464,466
W009414,LP0628,RAM,131,298
W009415,LP0852,Keyboard,309,694
W009416,LP0396,Motherboard,689,629
W009417,LP0050,SSD,960,269
W009418,LP0366,Keyboard,680,174
W009419,LP0169,GPU,759,296
W009420,LP0604,Keyboard,117,382
W009421,LP0882,Keyboard,968,224
W009422,LP0788,SSD,766,128
W009423,LP0200,RAM,899,333
W009424,LP0149,GPU,131,678
W009425,LP0389,Motherboard,62,654
W009426,LP0576,Touchpad,948,190
W009427,LP0479,SSD,32,351
W009428,LP0092,SSD,506,147
W009429,LP0939,GPU,605,123
W009430,LP0811,Display,192,234
W009431,LP0445,RAM,869,347
W009432,LP0735,Motherboard,330,399
W009433,LP0947,SSD,364,468
W009434,LP0042,Motherboard,855,160
W009435,LP0553,Touchpad,385,201
W009436,LP0194,Speaker,541,238
W009437,LP0369,Cooling Fan,394,580
W009438,LP0662,Touchpad,663,616
W009439,LP0308,RAM,352,189
W009440,LP0334,Display,998,315
W009441,LP0889,Cooling Fan,669,210
W009442,LP0611,SSD,921,499
W009443,LP0364,GPU,760,352
W009444,LP0105,Battery,1064,555
W009445,LP0690,Touchpad,692,476
W009446,LP0207,Speaker,395,468
W009447,LP0503,GPU,877,385
W009448,LP0792,Cooling Fan,129,245
W009449,LP0083,Motherboard,170,201
W009450,LP0131,Display,512,259
W009451,LP0660,Speaker,1019,394
W009452,LP0805,Keyboard,546,212
W009453,LP0076,SSD,598,553
W009454,LP0220,RAM,600,369
W009455,LP0773,Cooling Fan,600,607
W009456,LP0519,Speaker,483,663
W009457,LP0436,Speaker,420,605
W009458,LP0710,Battery,751,184
W009459,LP0381,SSD,450,66
W009460,LP0639,Keyboard,709,284
W009461,LP0955,RAM,364,95
W009462,LP0361,Display,1013,230
W009463,LP0697,SSD,787,460
W009464,LP0969,Motherboard,895,575
W009465,LP0742,Touchpad,320,291
W009466,LP0482,Display,743,517
W009467,LP0799,RAM,860,137
W009468,LP0018,Speaker,105,108
W009469,LP0040,Keyboard,51,196
W009470,LP0184,Display,296,244
W009471,LP0597,RAM,754,139
W009472,LP0184,Display,865,640
W009473,LP0525,Keyboard,289,225
W009474,LP0157,Speaker,737,295
W009475,LP0102,SSD,269,198
W009476,LP0420,Keyboard,282,452
W009477,LP0762,Battery,243,332
W009478,LP0271,RAM,425,516
W009479,LP0109,RAM,84,303
W009480,LP0330,Display,814,530
W009481,LP0557,Cooling Fan,1021,593
W009482,LP0513,Motherboard,170,157
W009483,LP0655,RAM,215,243
W009484,LP0183,GPU,621,220
W009485,LP0201,Battery,815,224
W009486,LP0346,RAM,560,454
W009487,LP0626,Motherboard,435,226
W009488,LP0735,GPU,395,118
W009489,LP0036,RAM,920,114
W009490,LP0582,Cooling Fan,516,210
W009491,LP0206,Speaker,215,392
W009492,LP0301,RAM,703,170
W009493,LP0465,Speaker,971,477
W009494,LP0655,Battery,790,36
W009495,LP0901,Battery,450,367
W009496,LP0440,SSD,54,627
W009497,LP0239,Motherboard,897,551
W009498,LP0622,Display,774,42
W009499,LP0494,Speaker,904,537
W009500,LP0961,Touchpad,812,613
W009501,LP0586,Touchpad,455,567
W009502,LP0974,Display,262,672
W009503,LP0582,SSD,952,309
W009504,LP0399,Display,364,270
W009505,LP0987,Display,27,66
W009506,LP0146,SSD,196,400
W009507,LP0345,Display,1022,364
W009508,LP0533,GPU,455,493
W009509,LP0216,RAM,428,237
W009510,LP0170,Cooling Fan,80,163
W009511,LP0517,Touchpad,832,448
W009512,LP0986,GPU,1037,473
W009513,LP0829,Speaker,765,582
W009514,LP0854,SSD,445,101
W009515,LP0092,GPU,340,98
W009516,LP0061,GPU,736,116
W009517,LP0313,Touchpad,528,502
W009518,LP0212,Touchpad,834,402
W009519,LP0701,SSD,421,110
W009520,LP0019,RAM,734,479
W009521,LP0508,Display,102,239
W009522,LP0697,Motherboard,304,502
W009523,LP0339,Touchpad,858,72
W009524,LP0571,Speaker,687,591
W009525,LP0393,Touchpad,934,652
W009526,LP0194,RAM,1077,336
W009527,LP0209,SSD,339,222
W009528,LP0103,SSD,576,371
W009529,LP0172,Display,355,383
W009530,LP0725,Speaker,897,76
W009531,LP0435,Battery,20,669
W009532,LP0917,Speaker,230,594
W009533,LP0046,SSD,107,698
W009534,LP0589,Touchpad,246,354
W009535,LP0128,SSD,222,328
W009536,LP0003,RAM,132,601
W009537,LP0358,Motherboard,172,277
W009538,LP0691,SSD,991,674
W009539,LP0280,Battery,832,254
W009540,LP0803,GPU,531,103
W009541,LP0911,Battery,361,451
W009542,LP0311,Cooling Fan,287,357
W009543,LP0709,SSD,458,618
W009544,LP0758,Battery,594,378
W009545,LP0217,Touchpad,824,43
W009546,LP0868,SSD,269,289
W009547,LP0027,Speaker,181,494
W009548,LP0290,SSD,293,406
W009549,LP0689,Keyboard,829,570
W009550,LP0667,RAM,390,493
W009551,LP0813,GPU,1040,211
W009552,LP0020,Touchpad,210,591
W009553,LP0664,Speaker,219,199
W009554,LP0157,SSD,796,429
W009555,LP0126,SSD,336,579
W009556,LP0041,Touchpad,1009,31
W009557,LP0166,Motherboard,968,631
W009558,LP0723,Motherboard,901,282
W009559,LP0367,Display,661,667
W009560,LP0080,Display,970,379
W009561,LP0665,Keyboard,492,150
W009562,LP0451,Motherboard,287,388
W009563,LP0917,Keyboard,499,540
W009564,LP0613,Cooling Fan,13,574
W009565,LP0399,Motherboard,641,692
W009566,LP0242,Cooling Fan,990,383
W009567,LP0564,Cooling Fan,378,406
W009568,LP0204,Cooling Fan,186,534
W009569,LP0142,Motherboard,245,361
W009570,LP0236,Keyboard,475,55
W009571,LP0008,Keyboard,391,374
W009572,LP0974,GPU,861,308
W009573,LP0456,SSD,147,225
W009574,LP0947,Keyboard,153,132
W009575,LP0366,Display,859,545
W009576,LP0233,Touchpad,605,582
W009577,LP0769,SSD,333,174
W009578,LP0423,GPU,414,118
W009579,LP0377,SSD,444,48
W009580,LP0608,Touchpad,70,241
W009581,LP0658,SSD,250,282
W009582,LP0078,RAM,790,685
W009583,LP0351,Keyboard,786,472
W009584,LP0509,Display,434,440
W009585,LP0314,GPU,410,366
W009586,LP0086,SSD,675,202
W009587,LP0189,Speaker,287,247
W009588,LP0143,RAM,453,346
W009589,LP0524,RAM,392,639
W009590,LP0458,Touchpad,443,291
W009591,LP0611,GPU,737,478
W009592,LP0468,RAM,501,686
W009593,LP0227,RAM,371,152
W009594,LP0686,Touchpad,1026,30
W009595,LP0700,GPU,612,36
W009596,LP0978,GPU,600,120
W009597,LP0148,Keyboard,166,361
W009598,LP0288,Motherboard,328,345
W009599,LP0268,Cooling Fan,1040,239
W009600,LP0009,Cooling Fan,694,44
W009601,LP0110,GPU,413,175
W009602,LP0510,Motherboard,398,696
W009603,LP0276,Touchpad,245,288
W009604,LP0105,Motherboard,719,158
W009605,LP0390,Touchpad,822,235
W009606,LP0841,GPU,619,201
W009607,LP0476,Battery,161,221
W009608,LP0934,GPU,545,350
W009609,LP0964,SSD,425,426
W009610,LP0499,GPU,1053,693
W009611,LP0968,Cooling Fan,897,520
W009612,LP0675,SSD,808,520
W009613,LP0645,Battery,801,640
W009614,LP0527,GPU,408,34
W009615,LP0914,Display,486,241
W009616,LP0226,Battery,1009,659
W009617,LP0794,Speaker,286,126
W009618,LP0850,Cooling Fan,12,205
W009619,LP0657,GPU,1001,153
W009620,LP0618,Touchpad,798,102
W009621,LP0304,Touchpad,589,668
W009622,LP0097,Speaker,730,152
W009623,LP0316,Cooling Fan,736,462
W009624,LP0974,Display,861,72
W009625,LP0816,Keyboard,589,627
W009626,LP0972,RAM,317,437
W009627,LP0030,GPU,1065,218
W009628,LP0861,Battery,1037,499
W009629,LP0580,RAM,837,103
W009630,LP0315,Display,32,609
W009631,LP0936,GPU,793,101
W009632,LP0689,RAM,357,665
W009633,LP0902,Keyboard,333,375
W009634,LP0977,Cooling Fan,1090,643
W009635,LP0048,Speaker,1043,373
W009636,LP0816,Motherboard,877,612
W009637,LP0016,Keyboard,122,257
W009638,LP0293,Cooling Fan,155,110
W009639,LP0189,Motherboard,291,510
W009640,LP0218,Motherboard,294,269
W009641,LP0895,Speaker,752,683
W009642,LP0588,RAM,209,172
W009643,LP0607,Battery,82,505
W009644,LP0157,Battery,413,76
W009645,LP0809,Keyboard,506,410
W009646,LP0754,Speaker,317,257
W009647,LP0230,Touchpad,745,99
W009648,LP0109,Display,503,671
W009649,LP0783,Touchpad,1028,510
W009650,LP0942,Keyboard,947,646
W009651,LP0162,Cooling Fan,968,429
W009652,LP0449,Speaker,330,281
W009653,LP0401,Motherboard,610,216
W009654,LP0134,Touchpad,794,447
W009655,LP0337,Display,633,291
W009656,LP0703,SSD,1052,415
W009657,LP0347,Cooling Fan,564,232
W009658,LP0025,GPU,327,53
W009659,LP0392,Speaker,142,346
W009660,LP0693,Speaker,621,609
W009661,LP0630,Display,1045,479
W009662,LP0145,Motherboard,364,634
W009663,LP0527,Display,138,243
W009664,LP0011,Motherboard,1070,308
W009665,LP0244,Keyboard,255,326
W009666,LP0920,Display,247,107
W009667,LP0718,Cooling Fan,850,285
W009668,LP0915,Keyboard,53,670
W009669,LP0346,Motherboard,940,316
W009670,LP0586,RAM,118,319
W009671,LP0290,Keyboard,359,481
W009672,LP0100,Touchpad,350,614
W009673,LP0572,Motherboard,300,562
W009674,LP0288,SSD,238,449
W009675,LP0089,GPU,446,448
W009676,LP0829,Battery,569,89
W009677,LP0533,Speaker,686,147
W009678,LP0968,GPU,486,165
W009679,LP0247,Speaker,222,230
W009680,LP0502,Motherboard,665,524
W009681,LP0730,SSD,166,68
W009682,LP0249,Cooling Fan,851,192
W009683,LP0180,GPU,695,645
W009684,LP0275,Display,678,161
W009685,LP0369,Speaker,440,569
W009686,LP0359,Display,893,269
W009687,LP0323,Cooling Fan,1068,105
W009688,LP0819,Display,852,319
W009689,LP0807,SSD,898,450
W009690,LP0843,Speaker,572,520
W009691,LP0109,Keyboard,359,664
W009692,LP0061,Display,130,212
W009693,LP0853,Touchpad,216,376
W009694,LP0534,RAM,257,130
W009695,LP0565,RAM,1086,113
W009696,LP0938,Display,118,126
W009697,LP0293,GPU,103,164
W009698,LP0196,RAM,521,375
W009699,LP0650,Touchpad,823,551
W009700,LP0167,Speaker,40,129
W009701,LP0804,SSD,108,580
W009702,LP0117,Battery,506,374
W009703,LP0440,Keyboard,177,438
W009704,LP0508,GPU,819,80
W009705,LP0147,Cooling Fan,204,436
W009706,LP0575,Touchpad,378,504
W009707,LP0542,Speaker,572,509
W009708,LP0525,Cooling Fan,193,588
W009709,LP0079,Touchpad,417,574
W009710,LP0236,SSD,1031,484
W009711,LP0766,Motherboard,722,120
W009712,LP0013,SSD,981,268
W009713,LP0002,Speaker,72,219
W009714,LP0530,Battery,203,250
W009715,LP0117,Display,620,553
W009716,LP0177,SSD,199,338
W009717,LP0756,Keyboard,52,310
W009718,LP0779,SSD,643,420
W009719,LP0581,Cooling Fan,617,180
W009720,LP0816,RAM,855,256
W009721,LP0308,Touchpad,42,51
W009722,LP0953,Display,934,459
W009723,LP0539,Touchpad,473,282
W009724,LP0284,RAM,24,92
W009725,LP0265,Display,755,121
W009726,LP0683,Display,415,674
W009727,LP0045,Keyboard,63,483
W009728,LP0795,GPU,809,102
W009729,LP0489,Motherboard,802,138
W009730,LP0398,GPU,558,453
W009731,LP0319,Speaker,287,686
W009732,LP0998,Motherboard,1079,530
W009733,LP0130,Speaker,643,565
W009734,LP0941,Display,1058,138
W009735,LP0548,GPU,815,648
W009736,LP0144,Keyboard,585,290
W009737,LP0919,SSD,124,364
W009738,LP0379,Cooling Fan,301,346
W009739,LP0511,Cooling Fan,360,114
W009740,LP0810,Keyboard,849,230
W009741,LP0666,GPU,322,56
W009742,LP0725,Touchpad,162,447
W009743,LP0008,SSD,613,142
W009744,LP0489,Battery,406,99
W009745,LP0916,Touchpad,68,94
W009746,LP0450,Motherboard,809,463
W009747,LP0844,Speaker,779,278
W009748,LP0838,Cooling Fan,284,132
W009749,LP0715,Speaker,753,598
W009750,LP0590,Keyboard,718,555
W009751,LP0964,SSD,114,342
W009752,LP0493,Motherboard,759,497
W009753,LP0091,Battery,863,355
W009754,LP0398,RAM,796,314
W009755,LP0104,GPU,656,434
W009756,LP0400,GPU,947,127
W009757,LP0344,Cooling Fan,239,115
W009758,LP0842,Display,297,69
W009759,LP0960,Cooling Fan,46,137
W009760,LP0535,Motherboard,701,671
W009761,LP0540,Touchpad,402,406
W009762,LP0584,GPU,1014,676
W009763,LP0604,Battery,848,216
W009764,LP0371,RAM,291,383
W009765,LP0472,GPU,170,387
W009766,LP0029,Keyboard,394,385
W009767,LP0893,Touchpad,1061,691
W009768,LP0265,Speaker,106,558
W009769,LP0428,Display,1042,471
W009770,LP0689,Speaker,401,40
W009771,LP0839,SSD,428,316
W009772,LP0977,Battery,339,636
W009773,LP0618,Cooling Fan,775,252
W009774,LP0134,Display,16,96
W009775,LP0730,Keyboard,458,626
W009776,LP0558,Touchpad,454,39
W009777,LP0579,Motherboard,584,37
W009778,LP0049,Keyboard,1013,460
W009779,LP0353,Speaker,643,610
W009780,LP0678,Motherboard,227,341
W009781,LP0044,RAM,896,370
W009782,LP0754,Motherboard,313,390
W009783,LP0461,Speaker,1010,68
W009784,LP0689,Touchpad,105,655
W009785,LP0333,Touchpad,125,176
W009786,LP0699,Cooling Fan,24,307
W009787,LP0401,Keyboard,818,649
W009788,LP0880,Display,238,558
W009789,LP0784,Keyboard,1078,460
W009790,LP0903,SSD,394,419
W009791,LP0137,GPU,859,111
W009792,LP0423,Keyboard,806,485
W009793,LP0688,Cooling Fan,146,496
W009794,LP0940,Cooling Fan,661,219
W009795,LP0613,GPU,622,214
W009796,LP0706,GPU,213,396
W009797,LP0876,SSD,956,582
W009798,LP0558,Display,552,128
W009799,LP0707,Battery,538,365
W009800,LP0853,Battery,920,513
W009801,LP0037,RAM,88,576
W009802,LP0824,Cooling Fan,701,376
W009803,LP0042,RAM,890,196
W009804,LP0272,SSD,174,586
W009805,LP0761,Speaker,799,482
W009806,LP0529,Touchpad,763,55
W009807,LP0104,Keyboard,241,620
W009808,LP0206,Speaker,954,93
W009809,LP0449,SSD,175,335
W009810,LP0897,Battery,54,133
W009811,LP0247,SSD,644,246
W009812,LP0566,Battery,163,348
W009813,LP0018,SSD,809,211
W009814,LP0320,Cooling Fan,905,230
W009815,LP0815,RAM,911,219
W009816,LP0221,GPU,342,523
W009817,LP0938,Keyboard,486,78
W009818,LP0514,Touchpad,33,277
W009819,LP0314,RAM,617,347
W009820,LP0407,Speaker,590,284
W009821,LP0988,Battery,138,73
W009822,LP0887,Touchpad,669,333
W009823,LP0982,Touchpad,802,605
W009824,LP0429,Display,1007,501
W009825,LP0822,Keyboard,127,513
W009826,LP0580,Motherboard,165,614
W009827,LP0626,Speaker,581,436
W009828,LP0457,GPU,149,506
W009829,LP0020,Touchpad,772,150
W009830,LP0095,Motherboard,451,389
W009831,LP0414,Battery,662,524
W009832,LP0710,GPU,282,100
W009833,LP0059,Touchpad,78,175
W009834,LP0540,Motherboard,719,494
W009835,LP0777,Touchpad,713,412
W009836,LP0024,Motherboard,122,292
W009837,LP0305,SSD,160,382
W009838,LP0437,GPU,497,72
W009839,LP0968,RAM,929,190
W009840,LP0509,RAM,898,188
W009841,LP0822,Battery,54,197
W009842,LP0117,Cooling Fan,663,583
W009843,LP0582,Battery,444,607
W009844,LP0718,Motherboard,666,228
W009845,LP0471,Motherboard,250,262
W009846,LP0658,Cooling Fan,813,59
W009847,LP0990,Cooling Fan,388,34
W009848,LP0688,Keyboard,322,315
W009849,LP0532,Touchpad,405,174
W009850,LP0233,Cooling Fan,996,404
W009851,LP0431,Cooling Fan,984,656
W009852,LP0947,SSD,779,427
W009853,LP0887,Speaker,675,239
W009854,LP0851,Battery,577,149
W009855,LP0991,SSD,1044,319
W009856,LP0160,GPU,1050,593
W009857,LP0746,Motherboard,1006,481
W009858,LP0368,Cooling Fan,595,477
W009859,LP0813,RAM,1094,376
W009860,LP0693,Cooling Fan,771,433
W009861,LP0842,SSD,760,119
W009862,LP0795,Touchpad,377,313
W009863,LP0141,Cooling Fan,505,301
W009864,LP0396,Speaker,270,698
W009865,LP0632,Speaker,753,123
W009866,LP0409,RAM,305,217
W009867,LP0684,Speaker,1014,242
W009868,LP0335,Display,187,593
W009869,LP0479,Cooling Fan,815,276
W009870,LP0266,Display,570,321
W009871,LP0574,Cooling Fan,1003,481
W009872,LP0308,Cooling Fan,844,231
W009873,LP0599,Cooling Fan,168,48
W009874,LP0198,Display,1082,579
W009875,LP0450,Battery,1028,528
W009876,LP0895,Touchpad,866,86
W009877,LP0896,GPU,1045,564
W009878,LP0686,GPU,907,319
W009879,LP0748,Battery,28,368
W009880,LP0703,Motherboard,674,511
W009881,LP0548,SSD,836,209
W009882,LP0148,Display,839,244
W009883,LP0269,GPU,686,124
W009884,LP0545,GPU,661,146
W009885,LP0355,Keyboard,185,165
W009886,LP0066,SSD,156,269
W009887,LP0730,Speaker,266,673
W009888,LP0631,Speaker,1001,668
W009889,LP0049,Speaker,890,551
W009890,LP0438,RAM,231,684
W009891,LP0260,GPU,849,84
W009892,LP0803,Display,1022,44
W009893,LP0820,RAM,495,658
W009894,LP0425,Cooling Fan,85,139
W009895,LP0919,RAM,766,198
W009896,LP0189,GPU,641,109
W009897,LP0756,Battery,548,425
W009898,LP0980,RAM,695,187
